#,Name ,logM SMBB , low err logM , up err logM ,T SMBB , low err T, up err T, beta SMBB , low err beta , up err  , log like 
#, , M_sun , M_sun , M_sun , K , K , K , , , , 
#,1,2,3,4,5,6,7,8,9,10,11
273,HRS273,7.479795,0.036998,0.046792,19.212202,1.042438,0.961088,1.752253,0.165786,0.172607,1.20508
274,HRS274,7.257777,0.042779,0.044676,17.708782,0.934776,0.99539,1.762158,0.167421,0.183747,6.14798
275,HRS275,7.519283,0.030544,0.0312,24.89747,1.089113,1.234318,1.505058,0.1109,0.117065,1.02404
276,HRS276,7.032123,0.035889,0.036135,23.959457,1.295196,1.326273,1.485034,0.132991,0.146826,3.54606
277,HRS277,6.019466,0.094288,0.094206,22.019581,1.51129,1.505862,1.822571,0.263162,0.261982,7.18407
278,HRS278,6.669962,0.060498,0.064517,20.157541,1.467361,1.364666,1.754299,0.210777,0.226693,6.02785
279,HRS279,7.273129,0.04911,0.05565,21.872455,1.468389,1.386525,1.184089,0.193261,0.18807,2.09776
280,HRS280,6.893393,0.023319,0.023641,22.247598,0.811867,0.849873,1.841697,0.104581,0.115124,7.9251
281,HRS281,6.300898,0.052598,0.057541,20.588956,1.311333,1.4924,1.768275,0.203573,0.220829,12.07941
283,HRS283,7.55219,0.021035,0.021928,23.277733,0.709831,0.725082,1.679802,0.06806,0.070054,0.37015
284,HRS284,7.444843,0.020133,0.019523,22.897895,0.652772,0.67348,2.060011,0.064103,0.063509,1.97321
285,HRS285,7.710452,0.02177,0.022652,21.723262,0.722882,0.699629,1.939565,0.088542,0.094887,-0.63952
286,HRS286,7.038135,0.106691,0.111358,19.079787,1.53714,1.513217,1.413443,0.286405,0.26505,2.6845
287,HRS287,7.28155,0.030856,0.031151,23.003946,1.035121,1.067634,1.605801,0.10899,0.121617,1.81229
288,HRS288,7.483404,0.04048,0.044061,19.243051,1.015122,1.025939,1.835621,0.145246,0.154063,1.18226
289,HRS289,7.826828,0.025065,0.025314,22.248553,0.78661,0.845006,1.745452,0.096177,0.094149,-0.27104
290,HRS290,6.656088,0.027544,0.027492,23.336655,1.022944,1.076746,2.059128,0.139968,0.150163,6.76832
292,HRS292,7.268234,0.022407,0.022993,23.40635,0.86472,0.869597,1.96378,0.097884,0.099701,1.68132
293,HRS293,7.184474,0.028427,0.02955,23.687429,0.986506,1.041661,1.508806,0.108694,0.103158,2.77814
294,HRS294,7.293672,0.034988,0.032539,21.70454,0.996951,1.072235,1.572102,0.126225,0.133448,6.91
295,HRS295,8.179543,0.030845,0.033798,21.861453,1.005592,0.894496,1.824739,0.10357,0.118005,-8.51607
296,HRS296,6.188242,0.078345,0.083796,22.74047,1.664294,1.737847,1.66968,0.218578,0.219105,9.16655
297,HRS297,7.81031,0.027919,0.030402,21.795917,0.932432,0.883266,1.528522,0.101634,0.106549,-0.15218
298,HRS298,7.080086,0.024359,0.024024,23.318759,0.874047,0.887175,1.936044,0.102876,0.11142,5.67565
299,HRS299,7.479988,0.045109,0.05,21.164689,1.252826,1.270791,1.380011,0.16794,0.193742,-1.56828
300,HRS300,6.614187,0.063965,0.065325,20.743777,1.430952,1.512041,1.602705,0.223903,0.248242,8.88702
301,HRS301,7.685269,0.048424,0.05465,21.195915,1.427601,1.297102,1.256445,0.186069,0.195898,-2.06599
302,HRS302,7.283969,0.0702,0.077575,19.078703,1.5906,1.683587,1.331056,0.202846,0.200993,5.2685
303,HRS303,6.891073,0.033068,0.030984,25.675097,1.366001,1.449848,1.949523,0.150296,0.157444,5.98053
304,HRS304,7.487893,0.030513,0.030883,18.728222,0.74488,0.759982,1.88997,0.121272,0.126939,4.20179
305,HRS305,6.210055,0.122962,0.111847,21.403607,1.91247,1.830152,1.615298,0.248308,0.241015,8.24826
306,HRS306,7.050108,0.061301,0.066701,20.816803,1.289061,1.329481,2.103602,0.215363,0.226435,-0.37815
307,HRS307,8.082358,0.03607,0.040861,19.802638,1.050874,0.957237,1.662531,0.160245,0.177571,-7.41225
308,HRS308,5.571411,0.06007,0.062276,20.987169,1.579028,1.647237,1.694495,0.261087,0.284426,14.05906
309,HRS309,6.698027,0.03913,0.04495,25.197165,1.529555,1.630203,1.082213,0.145439,0.160834,9.291
310,HRS310,7.471944,0.032459,0.032106,20.278609,0.929076,0.938895,2.012391,0.156477,0.168027,3.52588
311,HRS311,7.8932,0.044158,0.050819,18.802911,1.082082,1.139863,1.856089,0.170184,0.182793,-1.78994
313,HRS313,7.551479,0.053184,0.061028,19.187083,1.320646,1.268289,1.526338,0.172146,0.179795,3.04409
314,HRS314,7.15621,0.04414,0.045453,24.255649,1.520248,1.780964,1.131448,0.166661,0.159948,4.95217
315,HRS315,6.679598,0.10223,0.118598,22.532464,2.602794,2.295001,1.154783,0.328924,0.325257,4.69968
317,HRS317,6.668612,0.092704,0.090453,20.277718,1.709607,1.687459,1.481538,0.226125,0.243295,9.37556
318,HRS318,7.288888,0.030696,0.033678,23.957858,1.182969,1.178608,1.379412,0.12229,0.137133,2.96696
319,HRS319,7.55484,0.041476,0.043562,23.189421,1.319459,1.372775,1.265276,0.156101,0.160575,-0.76597
320,HRS320,7.842553,0.049982,0.054302,22.546552,1.549433,1.515159,1.219541,0.149366,0.15781,-1.95068
321,HRS321,6.925595,0.024588,0.025992,24.168748,1.009482,1.062797,1.722154,0.112048,0.119143,8.11756
322,HRS322,7.651251,0.079787,0.091204,18.039104,1.399196,1.337714,1.503695,0.243267,0.265349,0.88956
323,HRS323,7.555668,0.021344,0.021445,21.888856,0.669063,0.744376,1.653638,0.078476,0.084929,5.60842
