dr7objid,dr8objid,objid
587722982279413903,1237648703504318594,1237648703504318594
587722982279020629,1237648703503925274,1237648703503925274
587722982278889623,1237648703503794332,1237648703503794332
587722982278496424,1237648703503401151,1237648703503401151
587722982274498694,1237648703499403489,1237648703499403489
587722982274498694,1237648703499403489,1237648703499403489
587722982274498699,1237648703499403461,1237648703499403461
587722982274498699,1237648703499403461,1237648703499403461
587722982272663701,1237648703497568422,1237648703497568422
587722982272139314,1237648703497044029,1237648703497044029
587722982272139314,1237648703497044029,1237648703497044029
587722982271746206,1237648703496650934,1237648703496650934
587722982271287386,1237648703496192128,1237648703496192128
587722982270959742,1237648703495864466,1237648703495864466
587722981767774868,1237648702992679581,1237648702992679581
587722981767774787,1237648702992679489,1237648702992679489
587722981767709051,1237648702992613735,1237648702992613735
587722981767578236,1237648702992482660,1237648702992482660
587722981767512384,1237648702992417025,1237648702992417025
587722981767250131,1237648702992155134,1237648702992155134
587722981767119277,1237648702992023956,1237648702992023956
587722981766136087,1237648702991040781,1237648702991040781
587722981766070725,1237648702990975434,1237648702990975434
587722981766004993,1237648702990909715,1237648702990909715
587722981755781380,1237648702980686244,1237648702980686244
587722981754339427,1237648702979244132,1237648702979244132
587722981753421997,1237648702978326690,1237648702978326690
587722981753421997,1237648702978326690,1237648702978326690
587722981750669529,1237648702975574253,1237648702975574253
587722981750669440,1237648702975574175,1237648702975574175
587722981749555329,1237648702974460079,1237648702974460079
587722981749555329,1237648702974460079,1237648702974460079
587722981746737325,1237648702971642125,1237648702971642125
587722982833651942,1237648704058556709,1237648704058556709
587722982834897207,1237648704059801900,1237648704059801900
587722982835355882,1237648704060260538,1237648704060260538
587722954381394424,1237648675606299146,1237648675606299146
587722954381328955,1237648675606233649,1237648675606233649
587722954381263238,1237648675606167925,1237648675606167925
587722954381263298,1237648675606167707,1237648675606167707
587722954381132388,1237648675606037143,1237648675606037143
587722954380935700,1237648675605840419,1237648675605840419
587722954380870152,1237648675605774871,1237648675605774871
