,RA,DEC,objid
0,146.63166999999999,-0.9882778,587725084651094140
1,146.7517,-0.4083915,587725074458476803
2,146.59448,-0.13317432,588848899898016107
3,146.35204,-0.3326912,587725074458345621
4,146.30086,0.035479628,587725074995150921
5,146.36539,-0.34351528,587725074458345628
6,146.39902,-0.35038266,587725074458345647
7,145.64786999999998,-0.7717634,587725073921147022
8,145.39106999999998,-0.41559586,587725074457886934
9,145.3206,-0.25286138,587725074457886881
10,145.61283999999998,0.972333,587727942421381271
11,145.59402,0.30938426,588848900434493571
12,146.01225,0.7656381999999999,588848900971561170
13,145.99263,0.78807765,588848900971495648
14,145.89355,1.0284222,587727942421512338
15,145.72946000000002,0.12689565,587725074994888911
16,145.9282,0.53113353,587725075531890854
17,146.25172,0.506149,587725075532021901
18,146.463,0.63870907,588848900971757669
19,146.51535,0.1667796,587725074995282097
20,146.40623,0.6041419,587725075532087451
21,146.5912,0.8967179,587725076069023912
22,146.79908999999998,0.70274156,588848900971888657
23,146.84222,0.7408431,588848900971888858
24,147.19292,0.27191842,588848900435148906
25,146.63166999999999,-0.9882778,587725084651094140
26,146.9639,-0.5450026,588848899361341651
27,146.78847,-0.31065753,587725074458476823
28,146.59448,-0.13317432,588848899898016107
29,146.7517,-0.4083915,587725074458476803
30,146.35204,-0.3326912,587725074458345621
31,146.36539,-0.34351528,587725074458345628
32,146.39902,-0.35038266,587725074458345647
33,146.30086,0.035479628,587725074995150921
34,145.64786999999998,-0.7717634,587725073921147022
35,145.39106999999998,-0.41559586,587725074457886934
36,145.3206,-0.25286138,587725074457886881
37,145.26324,0.99193054,587727942421250123
38,145.61283999999998,0.972333,587727942421381271
39,145.59402,0.30938426,588848900434493571
40,145.99263,0.78807765,588848900971495648
41,146.01225,0.7656381999999999,588848900971561170
42,145.89355,1.0284222,587727942421512338
43,145.72946000000002,0.12689565,587725074994888911
44,145.9282,0.53113353,587725075531890854
45,146.25172,0.506149,587725075532021901
46,146.08981,0.6598350000000001,588848900971561203
47,146.40623,0.6041419,587725075532087451
48,146.463,0.63870907,588848900971757669
49,146.51535,0.1667796,587725074995282097
50,146.5912,0.8967179,587725076069023912
51,146.79908999999998,0.70274156,588848900971888657
52,146.84222,0.7408431,588848900971888858
53,147.19292,0.27191842,588848900435148906
54,148.59859,-0.73222756,587728947973193882
55,149.09028999999998,-0.25137207,587728948510261378
56,149.11248999999998,0.12973010000000001,587728949047197701
57,148.24551,-0.97315013,588848899093430500
58,148.09525,-1.1431803,587725084651749513
59,148.54938,-0.06612528,588848899898933327
60,148.18303,-0.058259825999999994,588848900167172158
61,147.8307,-0.17603576,588848899898605723
62,147.8093,-0.7284915,587725073922064514
63,147.65921,-1.0037984,587725084651552847
64,147.86931,-0.5626916000000001,588848899361734804
65,147.7359,-0.31801105,587725074458935430
66,146.78847,-0.31065753,587725074458476823
67,147.36287,-0.32793275,587725074458738900
68,147.39153000000002,-0.24981181,587725074458738921
69,147.24571,1.1384966,587726031697346774
70,147.74023,0.8631924999999999,587725076069548159
71,147.99448,0.9846775999999999,587725076069679105
72,147.95131999999998,0.60521716,587725075532742907
73,147.89719,0.43473977,587725075532742742
74,148.24725,0.5028872,587728949583675452
75,148.07487,0.8894851999999999,587725076069679204
76,148.18634,1.0591506000000002,587727942422560971
77,148.05469,0.9245205,587725076069679197
78,148.52473,0.6505495,588848900972609620
79,148.5425,0.6054721,587728949583806670
80,148.64485,0.6322880999999999,588848900972675465
81,148.55893999999998,0.6383194999999999,588848900972675253
82,148.55167,0.8053039000000001,588848900972675246
83,148.81046,0.61289954,587728949583937692
84,148.56255,0.97277313,587728950120677497
85,148.76193,0.7574841,588848900972740749
86,148.92473999999999,0.22252607,588848900435935483
87,148.97539,0.33293438,588848900435935533
88,149.041,0.32583022,588848900436000809
89,150.01692,-0.58805615,588848899362652365
90,150.51385,-0.21379653,587728948510916741
91,149.91718,-0.7434746999999999,587728947973783727
92,150.30100000000002,-0.006601762,588848899899654445
93,150.359,0.08244983,587728949047722144
94,150.20821999999998,-0.14916317,588848899899654332
95,150.2317,0.08650776,587728949047656624
96,149.2899,-1.1391806999999998,587725084652273777
97,149.55486000000002,-0.6715159,587728947973587251
98,149.90198,-0.32174125,587728948510654851
99,149.61426,-0.42008805,588848899362521216
100,149.60535,-0.3370553,587728948510523580
101,149.41685,0.00042866105999999997,587728949047328904
102,148.5938,-1.2570639,587729151456247985
103,148.26568999999998,-0.9602361999999999,588848898825060453
104,149.06117,0.10304762,587728949047132306
105,148.78789,0.5602366,587728949583872198
106,149.00829,0.7700132,588848900972871833
107,149.05682,0.7538736,588848900972871879
108,149.13963,0.7508816999999999,588848900972871933
109,149.1391,0.5969858,587728949584068755
110,149.33768,0.8149153,588848900973002965
111,149.53812,0.6008673000000001,587728949584199859
112,149.44456,0.6728234000000001,588848900973003047
113,149.44585,0.5718958000000001,587728949584199809
114,149.55064,0.23722537,588848900436197487
115,149.64745,0.5700109999999999,587728949584265293
116,149.99403,0.4804419,587728949584396397
117,149.6573,0.8707517,587728950121136293
118,150.06596000000002,0.517249,587728949584461997
119,150.12978,0.7589614,588848900973330508
120,149.77315,1.204926,587726031698460794
121,150.22832,0.5922061,587728949584527526
122,150.22255,0.5525001,587728949584527392
