dr7objid,dr8objid,objid,expAB_r
587722982297829814,1237648703522734471,1237648703522734471,0.491608
587722982298026184,1237648703522930848,1237648703522930848,0.05
587722982298157371,1237648703523062046,1237648703523062046,0.3833623
587722982298222616,1237648703523127517,1237648703523127517,0.1726233
587722982298812764,1237648703523717431,1237648703523717431,0.238086
587722982299271230,1237648703524175948,1237648703524175948,0.8638684
587722982299271230,1237648703524175948,1237648703524175948,0.8638684
587722982299271568,1237648703524176335,1237648703524176335,0.6392812
587722982300647474,1237648703525552175,1237648703525552175,0.25
587722982302744965,1237648703527649617,1237648703527649617,0.7662311
587722982303007055,1237648703527911709,1237648703527911709,0.2046336
587722982303334668,1237648703528239352,1237648703528239352,0.4298482
587722982303334783,1237648703528239476,1237648703528239476,0.5237243
587722982303334559,1237648703528239502,1237648703528239502,0.7073022
587722982303335067,1237648703528239808,1237648703528239808,0.6962259
587722982303400307,1237648703528304936,1237648703528304936,0.276431
587722982303400355,1237648703528304991,1237648703528304991,0.2626756
587722982303531052,1237648703528435730,1237648703528435730,0.6124898
587722982303531383,1237648703528436082,1237648703528436082,0.4588665
587722982303793763,1237648703528698474,1237648703528698474,0.4165931
587722982304710869,1237648703529615507,1237648703529615507,0.9386423
587722982305497489,1237648703530402116,1237648703530402116,0.4364163
587722982305759640,1237648703530664423,1237648703530664423,0.3599174
587722982305890908,1237648703530795574,1237648703530795574,0.6080181
587722982305890938,1237648703530795625,1237648703530795625,0.7346205
587722982305956091,1237648703530860809,1237648703530860809,0.2636788
587722982305956570,1237648703530861302,1237648703530861302,0.7396483
587722982306087030,1237648703530991714,1237648703530991714,0.6349071
587722982306414880,1237648703531319542,1237648703531319542,0.2768915
587722982306480694,1237648703531385364,1237648703531385364,0.9948698
587722982815170684,1237648704040075381,1237648704040075381,0.2912065
587722982815498402,1237648704040403101,1237648704040403101,0.1582259
587722982815760400,1237648704040665167,1237648704040665167,0.7867572
587722982815957116,1237648704040861800,1237648704040861800,0.7683137
587722982817529962,1237648704042434653,1237648704042434653,0.8149091
587722982819692648,1237648704044597468,1237648704044597468,0.5831234
587722982821003455,1237648704045908141,1237648704045908141,0.4124657
587722982823428415,1237648704048332959,1237648704048332959,0.3284823
587722982823493789,1237648704048398484,1237648704048398484,0.7345337
587722982823493789,1237648704048398484,1237648704048398484,0.7345337
587722982823493798,1237648704048398494,1237648704048398494,0.2690496
587722982823559383,1237648704048464089,1237648704048464089,0.4329993
587722982823624928,1237648704048529580,1237648704048529580,0.3623534
587722982823821557,1237648704048726314,1237648704048726314,0.7940825
587722982823821557,1237648704048726314,1237648704048726314,0.7940825
587722982825459983,1237648704050364654,1237648704050364654,0.5043958
587722982826770451,1237648704051675158,1237648704051675158,0.8732259
587722982827163823,1237648704052068490,1237648704052068490,0.8330148
587722982827884810,1237648704052789487,1237648704052789487,0.8026873
587722982828081392,1237648704052986096,1237648704052986096,0.1999955
587722982828146791,1237648704053051481,1237648704053051481,0.2156789
587722982828474648,1237648704053379368,1237648704053379368,0.2636977
587722982828474648,1237648704053379368,1237648704053379368,0.2636977
587722982828998820,1237648704053903529,1237648704053903529,0.3871889
587722982829130030,1237648704054034786,1237648704054034786,0.5252763
587722982829130030,1237648704054034786,1237648704054034786,0.5252763
587722982829391920,1237648704054296626,1237648704054296626,0.7432256
587722982829391920,1237648704054296626,1237648704054296626,0.7432256
587722982829457629,1237648704054362357,1237648704054362357,0.5985942
587722982829457629,1237648704054362357,1237648704054362357,0.5985942
587722982829981962,1237648704054886675,1237648704054886675,0.2151395
587722982830178312,1237648704055083016,1237648704055083016,0.8127857
587722982830506274,1237648704055410972,1237648704055410972,0.5098072
587722982830506274,1237648704055410972,1237648704055410972,0.5098072
587722982830637180,1237648704055541889,1237648704055541889,0.8189374
587722982830637180,1237648704055541889,1237648704055541889,0.8189374
587722982830637350,1237648704055542052,1237648704055542052,0.655039
587722982830637350,1237648704055542052,1237648704055542052,0.655039
587722982830833846,1237648704055738508,1237648704055738508,0.3543333
587722982830964906,1237648704055869581,1237648704055869581,0.156082
587722982830964906,1237648704055869585,1237648704055869585,0.3704095
587722982832537906,1237648704057442653,1237648704057442653,0.3299439
587722982832668823,1237648704057573747,1237648704057573747,0.683022
587722982833651942,1237648704058556709,1237648704058556709,0.561124
587722982834897207,1237648704059801900,1237648704059801900,0.541503
587722982835355882,1237648704060260538,1237648704060260538,0.7877405
587722982836076938,1237648704060981634,1237648704060981634,0.2152651
587722982836142432,1237648704061047095,1237648704061047095,0.4710703
587722982836339017,1237648704061243835,1237648704061243835,0.4935957
587722982836535592,1237648704061440281,1237648704061440281,0.6225764
587722982836600881,1237648704061505583,1237648704061505583,0.7708034
587722982836600977,1237648704061505695,1237648704061505695,0.8606848
587722982838829513,1237648704063734223,1237648704063734223,0.7308692
587722982839157087,1237648704064061764,1237648704064061764,0.4851585
587722982839484923,1237648704064389640,1237648704064389640,0.2346013
587722982839550004,1237648704064454699,1237648704064454699,0.2018911
587722982839550536,1237648704064455248,1237648704064455248,0.8568297
587722982839681450,1237648704064586399,1237648704064586399,0.383669
587722982840205413,1237648704065110095,1237648704065110095,0.3333968
587722982840468032,1237648704065372740,1237648704065372740,0.4103314
587722982840795609,1237648704065700320,1237648704065700320,0.8153842
587722982841188825,1237648704066093463,1237648704066093463,0.6390265
587722982841385533,1237648704066289929,1237648704066289929,0.2890753
587722982841582214,1237648704066486900,1237648704066486900,0.3293514
587722982841975237,1237648704066879947,1237648704066879947,0.3658775
587722982842368552,1237648704067273304,1237648704067273304,0.4136823
587722982842433595,1237648704067338300,1237648704067338300,0.6105688
587722982842499291,1237648704067403987,1237648704067403987,0.6114483
587722982843155196,1237648704068059872,1237648704068059872,0.1975174
587722982843417222,1237648704068321919,1237648704068321919,0.4187892
587722982843744825,1237648704068649509,1237648704068649509,0.4932101
587722982843744825,1237648704068649509,1237648704068649509,0.4932101
587722983353352398,1237648704578257089,1237648704578257089,0.7245428
587722983353352576,1237648704578257299,1237648704578257299,0.3515303
587722983353942214,1237648704578846903,1237648704578846903,0.7816897
587722983354204326,1237648704579109022,1237648704579109022,0.4659368
587722983354204327,1237648704579109023,1237648704579109023,0.4743496
587722983354531977,1237648704579436672,1237648704579436672,0.5355598
587722983356825710,1237648704581730401,1237648704581730401,0.2100783
587722983358464172,1237648704583368856,1237648704583368856,0.8418765
587722983360364886,1237648704585269541,1237648704585269541,0.4815267
587722983360364886,1237648704585269541,1237648704585269541,0.4815267
587722983361151120,1237648704586055806,1237648704586055806,0.5511076
587722983361413323,1237648704586318015,1237648704586318015,0.7339144
587722983362265603,1237648704587170257,1237648704587170257,0.6120147
587722983362265603,1237648704587170257,1237648704587170257,0.6120147
587722983363248238,1237648704588153023,1237648704588153023,0.616076
587722983363248238,1237648704588153023,1237648704588153023,0.616076
587722983363772443,1237648704588677420,1237648704588677420,0.4561546
587722983363772443,1237648704588677420,1237648704588677420,0.4561546
587722983364690143,1237648704589594868,1237648704589594868,0.1485743
587722983364755697,1237648704589660398,1237648704589660398,0.5156099
587722983365083362,1237648704589988044,1237648704589988044,0.5649936
587722983365214379,1237648704590119085,1237648704590119085,0.5525236
587722983365279858,1237648704590184554,1237648704590184554,0.8800839
587722983365279925,1237648704590184634,1237648704590184634,0.3107291
587722983365279925,1237648704590184634,1237648704590184634,0.3107291
587722983365607685,1237648704590512399,1237648704590512399,0.8309565
587722983365738662,1237648704590643354,1237648704590643354,0.6220831
587722983365869690,1237648704590774377,1237648704590774377,0.858715
587722983365869710,1237648704590774409,1237648704590774409,0.5655358
587722983367049501,1237648704591954188,1237648704591954188,0.3630246
587722983367115056,1237648704592019781,1237648704592019781,0.6697701
587722983367180475,1237648704592085158,1237648704592085158,0.4806972
587722983367704941,1237648704592609605,1237648704592609605,0.7540436
587722983368556772,1237648704593461456,1237648704593461456,0.2197084
587722983369605458,1237648704594510235,1237648704594510235,0.4291674
587722983369605458,1237648704594510235,1237648704594510235,0.4291674
587722983369670802,1237648704594575483,1237648704594575483,0.9863004
587722983371309089,1237648704596213796,1237648704596213796,0.7430769
587722983371571502,1237648704596476329,1237648704596476329,0.6851124
587722983371571518,1237648704596476347,1237648704596476347,0.425355
587722983371702348,1237648704596607254,1237648704596607254,0.679854
587722983371964692,1237648704596869401,1237648704596869401,0.5500249
587722983372292306,1237648704597196979,1237648704597196979,0.6601321
587722983372423293,1237648704597327967,1237648704597327967,0.6965597
587722983372947650,1237648704597852305,1237648704597852305,0.929116
587722983374913992,1237648704599818652,1237648704599818652,0.4074969
587722983375438342,1237648704600343113,1237648704600343113,0.2313266
587722983376880123,1237648704601784812,1237648704601784812,0.6795942
587722983376945263,1237648704601849945,1237648704601849945,0.6624093
587722983377142257,1237648704602046963,1237648704602046963,0.8697078
587722983377338495,1237648704602243187,1237648704602243187,0.8551809
587722983377338795,1237648704602243541,1237648704602243541,0.5047445
587722983377404164,1237648704602308812,1237648704602308812,0.2592334
587722983377797734,1237648704602702523,1237648704602702523,0.8674073
587722983377863217,1237648704602767946,1237648704602767946,0.2120831
587722983377928827,1237648704602833553,1237648704602833553,0.9441923
587722983378256306,1237648704603160953,1237648704603160953,0.233624
587722983378321913,1237648704603226298,1237648704603226298,0.3778137
587722983378453002,1237648704603357671,1237648704603357671,0.8148003
587722983378649594,1237648704603554350,1237648704603554350,0.3271659
587722983378977327,1237648704603882079,1237648704603882079,0.4237286
587722983381008784,1237648704605913451,1237648704605913451,0.1999267
587722983381008784,1237648704605913451,1237648704605913451,0.1999267
587722983889043651,1237648705113948373,1237648705113948373,0.7360941
587722983890944132,1237648705115848907,1237648705115848907,0.2999993
587722983890944174,1237648705115848944,1237648705115848944,0.5463529
587722983891009623,1237648705115914321,1237648705115914321,0.4539587
587722983896711380,1237648705121616118,1237648705121616118,0.4469023
587722983896711380,1237648705121616118,1237648705121616118,0.4469023
587722983896711394,1237648705121616133,1237648705121616133,0.6224825
587722983896711394,1237648705121616133,1237648705121616133,0.6224825
587722983897563195,1237648705122467991,1237648705122467991,0.7703127
587722983897563195,1237648705122467991,1237648705122467991,0.7703127
587722983898218585,1237648705123123276,1237648705123123276,0.6877859
587722983898218715,1237648705123123409,1237648705123123409,0.4797792
587722983898874023,1237648705123778715,1237648705123778715,0.202263
587722983899529384,1237648705124434057,1237648705124434057,0.3525519
587722983899529384,1237648705124434057,1237648705124434057,0.3525519
587722983899660407,1237648705124565099,1237648705124565099,0.8489758
587722983899660407,1237648705124565099,1237648705124565099,0.8489758
587722983899791506,1237648705124696302,1237648705124696302,0.4559515
587722983899791506,1237648705124696302,1237648705124696302,0.4559515
587722983899922500,1237648705124827190,1237648705124827190,0.530555
587722983899922500,1237648705124827190,1237648705124827190,0.530555
587722983900315788,1237648705125220594,1237648705125220594,0.5656521
587722983900315788,1237648705125220594,1237648705125220594,0.5656521
587722983901298848,1237648705126203540,1237648705126203540,0.3304713
587722983902740567,1237648705127645266,1237648705127645266,0.7736186
587722983902740683,1237648705127645405,1237648705127645405,0.4330106
587722983902740683,1237648705127645405,1237648705127645405,0.4330106
587722983902740684,1237648705127645407,1237648705127645407,0.3567064
587722983903461577,1237648705128366281,1237648705128366281,0.7289952
587722983903854830,1237648705128759533,1237648705128759533,0.5881444
587722983903854830,1237648705128759533,1237648705128759533,0.5881444
587722983903920326,1237648705128825021,1237648705128825021,0.2600268
587722983903920326,1237648705128825021,1237648705128825021,0.2600268
587722983904248107,1237648705129152799,1237648705129152799,0.397925
587722983904248107,1237648705129152799,1237648705129152799,0.397925
587722983904575550,1237648705129480247,1237648705129480247,0.6289869
587722983904575550,1237648705129480247,1237648705129480247,0.6289869
587722983904969020,1237648705129873672,1237648705129873672,0.6743053
587722983905820890,1237648705130725570,1237648705130725570,0.6888595
587722983906017570,1237648705130922251,1237648705130922251,0.6514399
587722983906017570,1237648705130922251,1237648705130922251,0.6514399
587722983906214137,1237648705131118779,1237648705131118779,0.3221319
587722983906214151,1237648705131118796,1237648705131118796,0.2833562
587722983906214182,1237648705131118799,1237648705131118799,0.3499667
587722983906214182,1237648705131118799,1237648705131118799,0.3499667
587722983906214182,1237648705131118799,1237648705131118799,0.3499667
587722983906738524,1237648705131643239,1237648705131643239,0.5116631
587722983906738524,1237648705131643239,1237648705131643239,0.5116631
587722983908180230,1237648705133084902,1237648705133084902,0.8487369
587722983908311148,1237648705133216085,1237648705133216085,0.5379301
587722983908573565,1237648705133478263,1237648705133478263,0.2536021
587722983909294460,1237648705134199151,1237648705134199151,0.7883908
587722983909621922,1237648705134526835,1237648705134526835,0.3796954
587722983912309224,1237648705137213973,1237648705137213973,0.5142334
587722983912636533,1237648705137541215,1237648705137541215,0.7616884
587722983913357526,1237648705138262430,1237648705138262430,0.9737327
587722983913423095,1237648705138327878,1237648705138327878,0.2193696
587722983913947386,1237648705138852052,1237648705138852052,0.3673029
587722983914143997,1237648705139048686,1237648705139048686,0.4168523
587722983914471797,1237648705139376639,1237648705139376639,0.5998271
587722983914668137,1237648705139572888,1237648705139572888,0.8108283
587722983915258298,1237648705140162967,1237648705140162967,0.7110597
587722983915323961,1237648705140228630,1237648705140228630,0.2747857
587722983915586121,1237648705140490840,1237648705140490840,0.6578507
587722983915716981,1237648705140621667,1237648705140621667,0.1999826
587722983915716721,1237648705140621772,1237648705140621772,0.5848686
587722983915717141,1237648705140622147,1237648705140622147,0.1415732
587722983915913829,1237648705140818470,1237648705140818470,0.5770581
587722983916110380,1237648705141015074,1237648705141015074,0.5697505
587722983916831203,1237648705141735988,1237648705141735988,0.493907
587722983917289658,1237648705142194361,1237648705142194361,0.5284955
587722983917289658,1237648705142194361,1237648705142194361,0.5284955
587722983917683677,1237648705142588382,1237648705142588382,0.8967616
587722983917683677,1237648705142588382,1237648705142588382,0.8967616
587722983917814692,1237648705142719433,1237648705142719433,0.6720089
587722983917814692,1237648705142719433,1237648705142719433,0.6720089
587722984426963050,1237648705651867762,1237648705651867762,0.4896658
587722984427028609,1237648705651933308,1237648705651933308,0.9980223
