,Unnamed: 0,Unnamed: 0.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
6612,12802,102360,0.033458132,9.829856e-06,353.37604,4.5622706,100.20726,3.1645546,0.5473379,0.004201650501075453,587727179010736162,0.7917345,56.29875,-6.5738845,9.791439,9.728889,9.864606,-0.37740964,-0.9951724,0.05584427,-0.46966407,0.0,-5.165695351145988,1,9.0260105,9.00857,9.037638,9.023104,0.06830199,12802,37.65210007383598
6614,12807,102412,0.034686033,9.980116e-06,299.74194,4.107085700000002,58.633484,2.5408568,0.70860183,0.003861081310205021,587727179010474123,0.8094618,55.636982,-6.770837299999998,10.121658,10.04179,10.212773,0.11999998,-0.14388654,0.43005636,0.14308491,0.0,-4.660359192774757,1,9.051499,9.004802,9.07094,9.03787,0.07176817,12807,35.95661889487324
6615,12808,102418,0.050593846,1.4563541e-05,210.25876,3.8991115,48.243862,2.5652454,0.639312,0.005611570324331566,587724240695853112,0.5625845,55.746582,-6.929303599999999,10.288279,10.207341,10.380332,0.33935806,-0.009328311,0.6586827,0.3246772,0.0,-4.859785323134288,1,9.1072035,9.067632,9.138917,9.103274,0.06729051,12808,55.76527774861763
6616,12809,102425,0.034941465,1.3799484e-05,304.98123,4.6988482000000005,59.185966,2.6271467,0.7120544,0.003960017064625154,587727179010474195,0.5328906,55.720196,-6.706111,10.275499,10.182756,10.371482,0.049511906,-0.13553375,0.27694070000000004,0.07070348,0.0,-4.136046739531959,1,9.1152115,9.100114,9.149538,9.124826,0.062336095,12809,57.79903012089862
6617,12810,102435,0.037471145,7.310986e-06,323.38748,4.2094393,88.06701,2.8330433,0.56491,0.004104308490026549,587727178473472068,0.48019179999999995,55.422886,-7.0600570000000005,9.230599,9.174225,9.312998,-0.33413225,-0.5237499,-0.08309846,-0.30342418,0.0,-4.234176403250904,1,8.856709500000003,8.824192,8.874089999999997,8.849141,0.065073855,12810,61.30207047790486
6618,12811,102438,0.035306223,1.4330326e-05,46.49746,1.8257303,15.640328,1.7905919999999995,0.47318336,0.01768074170477092,587727179010277659,0.46495,55.272987,-6.8193774000000005,9.062212,8.998476,9.158687,-1.4642501,-1.9374214,-0.8107953,-1.3741083,0.0,-5.36829023706852,1,8.4478855,8.2931385,8.576243,8.43469,0.051943943,12811,62.29301381647631
6619,12812,102441,0.05109999,9.760936e-06,106.15975,2.6805449,25.667574,2.0768337,0.61657506,0.008900321417659276,587724241232461984,0.3337524000000001,55.100113,-6.6430287,9.586934,9.5073595,9.682039,-0.29866043,-0.5881719,-0.008461524,-0.29831672,0.0,-4.6998412473129205,1,8.648192,8.548480999999999,8.716273,8.632378,0.053973164,12812,70.50331011563176
6620,12813,102444,0.031002764,7.367962e-06,396.0623,4.8405757000000005,77.44326,2.7370992000000003,0.7087799,0.003175693915668741,587727179010211943,0.8181415,55.03151,-6.8622417,10.088844,9.977603,10.17639,-0.15543285,-0.33285698,0.10363624,-0.114610374,0.0,-4.190890031550381,1,8.940958,8.92624,8.959772000000003,8.943006500000003,0.05063077,12813,35.100818808148034
6621,12814,102445,0.035224088,1.2530716e-05,180.89546,3.1759012,34.623737,2.6187212000000004,0.71805376,0.006454194054758662,587724241232461948,0.7222420999999999,55.024143,-6.6179929999999985,9.895641,9.816171,9.989428,-0.08152761,-0.40266675,0.21727765,-0.09269455,0.0,-4.7623099730397085,1,8.94643,8.921075,8.990006,8.955541,0.055450946,12814,43.76009603381647
6622,12815,102448,0.03504587,5.8865976e-06,1191.0721,11.571421,257.78577,4.557475,0.6646791,0.0018961442261487848,587724241232462000,0.6212840000000001,55.13336,-6.655099000000001,9.609676,9.5184145,9.70561,-0.096153736,-0.1917154,0.011394128,-0.09016064,0.0,-3.140178020821977,1,9.009964,9.003117,9.016811,9.009964,0.052953564,12815,51.590040298538526
