,Unnamed: 0,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
12606,100721,0.05915311,9.056051e-06,180.12896999999998,3.1618452,44.742115000000005,2.2240481,0.60486704,0.005686733137834246,587727179006214287,0.2076773,46.000640000000004,-7.941803500000001,9.961347,9.833960000000001,10.091928999999999,-0.6328431999999999,-0.8239615,-0.36966294,-0.59681225,0.0,-4.261292093415416,1,8.85004,8.824491,8.907753999999999,8.866122,0.09401148599999999,12606,78.01372928046445
12607,100728,0.030860722,7.59794e-06,1565.251,14.424284,295.19977,5.185020400000001,0.724468,0.0016246173387966733,587727179006279754,0.1999951,46.03727,-7.8010516,10.055292999999999,9.967619000000001,10.151639,0.21400021,0.11352249,0.3246881,0.21910529999999998,0.0,-3.1118201761654696,1,9.050408000000001,9.043313000000001,9.057504,9.050408000000001,0.09104433,12607,78.46332750561271
12608,100730,0.037485205,7.735765e-06,136.6019,2.5713662999999998,43.70081,2.2988827,0.49496728,0.007762604334511444,587724241228595324,0.7367443,46.206875,-7.665746,9.526885,9.426016,9.676944,-0.19757263,-0.48326173,0.16512614,-0.15906779999999998,0.0,-4.787502082693566,1,8.640336999999999,8.56811,8.698741,8.633426,0.084566146,12608,42.54518660176453
12610,100765,0.043564633,1.889365e-05,81.771675,2.0552544999999998,20.512754,1.8242412000000001,0.6005789,0.010068165875955905,587724241228333214,0.4624667000000001,45.666546000000004,-7.815446400000001,9.79138,9.706883,9.890397,-0.36449996,-0.69313174,-0.022316294,-0.357724,0.0,-4.935583557549294,2,-99.9,-99.9,-99.9,-99.9,0.0896028,12610,62.453605957137135
12611,100778,0.038485754,7.474934e-06,371.01126,4.434330999999999,95.66651,2.6408085999999997,0.58862716,0.003368566700028416,587724240691265607,0.2856844,45.231646999999995,-8.261432000000001,9.351086,9.270238,9.456632,-0.40442714,-0.55631286,-0.19946793,-0.37789040000000007,0.0,-3.971429743168141,1,8.851932000000001,8.826707,8.868933,8.84782,0.062297045999999995,12611,73.40023720136246
12617,100886,0.036763622999999995,1.6001255000000002e-05,103.68370999999999,2.7592833,22.281956,2.2972882,0.6677571999999999,0.009937918032036313,587727180616892520,0.2876822,45.90632,-6.668330999999999,10.048097,9.9633255,10.147094000000001,-0.14685543,-0.43521497,0.19250022,-0.121357374,0.0,-4.840980487208856,2,-99.9,-99.9,-99.9,-99.9,0.061652802,12617,73.28075651382298
12619,100902,0.031028114,1.8654539e-05,91.0813,3.8827865,24.96361,3.2408576,0.56212187,0.016264878819207764,587727180080087181,0.9320188,46.15767,-6.952891,10.657417,10.5633135,10.755510000000001,-0.79598737,-1.346875,-0.28636348,-0.8166191999999999,0.0,-5.3964469929790235,2,-99.9,-99.9,-99.9,-99.9,0.067044765,12619,21.248271957731426
12620,100910,0.029754195,9.009667e-06,267.37942999999996,4.115062,66.26754,3.0263283,0.60582715,0.005187179442960747,587724242839208035,0.2300334,46.141822999999995,-6.3530445,9.527969,9.465555,9.613161999999999,-0.071306005,-0.3053276,0.18829809,-0.05851475,0.0,-4.406964715281778,1,8.789991,8.737987,8.813961,8.775974,0.06963327,12620,76.70096184791555
12624,100958,0.031701892999999995,1.2860597e-05,65.60866999999999,3.4779212,16.596360999999998,2.6342293999999997,0.5969484,0.018383976549745697,587727179543347308,0.714642,46.546253,-7.4604845,10.135036999999999,10.041554,10.224329,-1.0228506,-1.6483605,-0.58549607,-1.1169283,0.0,-5.574651786076556,3,-99.9,-99.9,-99.9,-99.9,0.08248934,12624,44.386132556935465
12629,100976,0.036313694,1.1579382e-05,45.514520000000005,6.685383,12.788505,5.2312055,0.5513302,0.05303610655460071,587724242302533755,0.7809276999999999,46.626909999999995,-6.861874,10.464716000000001,10.36933,10.555114999999999,-1.3437499,-2.1543102000000003,-0.7177777,-1.436044,0.0,-5.896272727470644,-1,-99.9,-99.9,-99.9,-99.9,0.08251234,12629,38.65440661177912
12630,100978,0.032082006,6.8431746e-06,402.63876,4.457018,92.96336,2.6498337000000003,0.6366038,0.003066126489308969,587727180080283763,0.8784341999999998,46.6421,-6.890434700000001,9.586507000000001,9.501797,9.683102,-0.3385739,-0.50154495,-0.10212760000000001,-0.30183628,0.0,-4.087321198140868,1,8.780041,8.714709,8.796306,8.755507000000001,0.08312140400000001,12630,28.54594507005106
12631,100987,0.036423292,1.4928109500000001e-05,184.25699,3.2393665,46.346523,2.544397,0.5994068,0.006297155352979381,587727179543478407,0.5406674,46.816475,-7.446136500000001,9.919780000000001,9.831837,10.019522,-0.34379074,-0.63380957,-0.03470572,-0.33425763,0.0,-4.711719270795023,1,9.05672,9.009109,9.078531,9.043819000000001,0.096378416,12631,57.27091678039793
