,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,MDust_MCMC,MH2_MCMC,LCO_MCMC,GasFrac,NUMID,Inclination
24,24,24,284,0.05736921,7.870426e-06,395.27145,5.4045205,106.19718999999999,3.6578489999999997,0.5707824,0.0043240422106123055,587727942421381271,0.7617793,145.61283999999995,0.972333,9.639708500000001,9.566728,9.73378,-0.2104132,-0.35997018,-0.02838814,-0.19417916,0.0,-3.8475859461899766,1,8.920814,8.857509,8.93497,8.896239,7.6369108271598805,8.81389860868454,8.007195715904237,-0.8258099275861802,24,40.378690873407876
25,25,25,290,0.045764346,7.728495e-06,618.82434,8.272484,122.88224,4.517942,0.7020783,0.003373799693228417,588848900434493571,0.2468073,145.59402,0.30938426,10.506879,10.409809,10.605872999999999,0.25939090000000004,0.10253003,0.42535427,0.26394215,0.0,-3.783338176663625,1,9.083578,9.041261,9.095087,9.068174,7.974341186881065,9.18283997476101,8.577019747495651,-1.3240388716215548,25,75.71133526799896
26,26,26,314,0.037452683,6.037618e-06,691.8965,7.2237678,223.95676,5.0571413,0.48987696,0.003497179734342529,588848900971561170,0.1824845,146.01225,0.7656381999999999,9.420764,9.328509,9.548103999999999,-0.3397628,-0.5107594,-0.098429255,-0.30459434,0.0,-4.110424388070991,1,8.906366,8.890785000000003,8.916606,8.903696,7.428983776271343,8.586554245650769,7.656065987944603,-0.8342097177669544,26,79.4854915309333
27,27,27,317,0.03797853,7.4656728e-06,989.9269,9.621374000000001,211.89413,5.1666217,0.66948414,0.0024401059952885683,588848900971495648,0.5599994,145.99263,0.78807765,10.115497999999999,10.025619,10.205879,0.44354555,0.33709013,0.5624739000000001,0.44978199999999996,0.0,-3.2074994477507044,1,9.116127,9.104528,9.151893,9.128210000000001,7.890574235916137,9.091250429153444,8.43556116104126,-1.0242471462140996,27,55.94424375141647
28,28,28,318,0.053288724,9.451189e-06,264.69717,4.540507,64.40751999999999,3.1443272,0.61381274,0.005468165574027144,587727942421512338,0.5729241999999999,145.89355,1.0284222,10.005966,9.924066999999999,10.097341,0.01887262,-0.19530776,0.28125009999999995,0.042971164000000006,0.0,-4.37036768905752,1,8.975528,8.946568,9.012619,8.979593,7.747498753666878,8.934813812375069,8.193947311639786,-1.0711523963874399,28,55.0456081171193
30,30,30,331,0.0367165,1.1537865999999999e-05,234.77462999999997,4.0752573,46.343920000000004,2.891324,0.7046584,0.005551630108245482,587725074994888911,0.6063685000000001,145.72946000000005,0.12689565,10.0747,9.981384,10.169499,-0.2410319,-0.4623528,0.020681867,-0.22083548,0.0,-4.3666186806836595,1,9.003538,8.975146,9.055016499999999,9.015081,7.980972059965134,9.190090073347092,8.588217408657075,-0.8846102872440161,30,52.67261746989065
34,34,34,359,0.030486412,1.5489206e-05,83.7776,2.6239877000000003,19.393522,2.584283,0.6354711999999999,0.013761739918488024,587725075531890854,0.5995223000000001,145.9282,0.53113353,9.561224000000001,9.483791,9.657516000000001,-0.51650155,-0.8773648999999999,-0.22277221,-0.55006856,0.0,-4.860890076556831,1,8.707854,8.5699,8.831512,8.7007065,7.803161047697067,8.995674141645429,8.287945115566254,-0.5655498274652807,34,53.16430744097641
36,36,36,383,0.03735544,6.419891e-06,474.96884000000006,5.3189235,96.96624,3.4712734,0.6900445,0.003325679659066227,587725075532021901,0.6314614000000001,146.25172,0.506149,9.547788,9.455217999999999,9.639975999999999,-0.33578417,-0.44491667,-0.20651694,-0.3257168,0.0,-3.2515091772495146,1,8.847401,8.830246,8.858317,8.844282000000002,7.943414422273634,9.14902510762215,8.524793226718902,-0.3987625580022935,36,50.84197553663517
38,38,38,387,0.03036829,6.609598e-06,1538.4885,12.570471000000001,317.2462,6.1865362999999975,0.68569785,0.0018934726384997008,588848900971757669,0.8196043,146.463,0.63870907,10.077231,9.964128,10.188695,0.28159392,0.16039383,0.4678425,0.31411815,0.0,-3.7314798011901718,1,9.069802000000001,9.062854,9.076752,9.069803,7.9322434836626075,9.136810968518258,8.505928684473037,-0.9404204530907904,38,34.95479773822938
39,39,39,389,0.04892089,7.182823e-06,483.64987,5.8455324,125.202095,3.5962486000000005,0.5869194999999999,0.003503494583560207,587725074995282097,0.30854790000000004,146.51535,0.1667796,9.786887,9.721808,9.876780499999999,0.0639536,-0.15345463,0.31243664,0.079491004,0.0,-4.306726740905568,1,8.990029,8.981956,8.998103,8.990029,7.6783830803632735,8.859243757128716,8.077230571508409,-0.9276434207152556,39,72.0282580216462
40,40,40,395,0.0575771,1.1145609e-05,166.43811000000005,4.076939,46.825996,3.3916748,0.55076575,0.009342438302393155,587725075532087451,0.5291589,146.40623,0.6041419,9.735503,9.649891,9.832727,-0.26030636,-0.5163755,-0.001898751,-0.25913712,0.0,-4.499938981333312,1,8.896533999999997,8.846681,8.959358,8.903019,7.585467984676361,8.757651765346527,7.9203233671188356,-0.9778514359609506,40,58.05135731127022
41,41,41,404,0.026309654,1.0086735e-05,180.26483000000002,4.218096,46.810368,4.0860558,0.58556896,0.010191698511104104,587725076069023912,0.8681329,146.5912,0.8967179,9.078185000000001,8.998403,9.176185,-0.8965559000000001,-1.1206766000000001,-0.6543561999999999,-0.8875164000000001,0.0,-4.333089382876807,1,8.723392,8.658352,8.812063,8.735208,7.674912238717079,8.855448790192604,8.071369305849075,-0.22273630508939807,41,29.757609951012235
44,44,44,430,0.030496923,4.0636296e-06,2121.9568,17.178848000000002,596.6564,7.847881299999999,0.5510122,0.001886068815248416,588848900971888657,0.6049216,146.79908999999995,0.70274156,9.563297,9.471454,9.745325999999999,0.52065223,0.27413803,1.0384616,0.6562998000000001,0.0,-4.736160559395928,1,8.664271000000001,8.648109,8.676178,8.662144,7.5861014002561555,8.758344332575797,7.92139302611351,-0.8049529337877197,44,52.77679951830237
46,46,46,477,0.020122617,7.0355604e-06,461.98093,5.4639473,123.462,3.7159011,0.57309073,0.0037532398585858532,588848900971888858,0.2291763,146.84222,0.7408431,9.299947,9.197654,9.400586,-1.1170212,-1.3133879,-0.8914415000000001,-1.1024147,0.0,-4.121480302958908,1,8.784858999999999,8.767213,8.798630000000003,8.782921,7.642843181490897,8.820384957194328,8.017213777303695,-0.4795618299099253,46,76.7514180538007
47,47,47,484,0.020181265,7.4258987e-06,2810.2529999999997,20.889275,758.1856700000003,9.614479,0.56896985,0.0017222648718467752,588848900435148906,0.6373125,147.19292,0.27191842,9.371139999999999,9.297097,9.505297,-0.06933863,-0.21087949,0.14037660000000002,-0.035251446,0.0,-3.9125424503015225,1,8.885887,8.869256,8.898844,8.88405,7.632252503633499,8.808805266618727,7.999329130649568,-0.5623342413098629,47,50.408289941624744
49,49,49,497,0.05265425,8.614108999999999e-06,127.30576,2.6408862999999996,38.332256,2.2794886,0.5212837,0.008235883609790941,587725084651094140,0.8832074000000001,146.63166999999999,-0.9882778,9.363875,9.294319999999999,9.457402,-0.41524124,-0.6310036,-0.16437772,-0.39769065,0.0,-4.369647945719658,1,8.688158999999999,8.616378,8.744126,8.680252000000001,7.509699073433876,8.674807158112525,7.7923711979389205,-0.6890682274060239,49,27.968275803506486
50,50,50,502,0.055980586,9.574062999999999e-06,195.51971,3.0235917999999997,42.869556,2.5402113999999996,0.6590416,0.005831389402643643,588848899361341651,0.2020772,146.9639,-0.5450026,9.958716,9.864082000000002,10.059008,-0.124197856,-0.38142204,0.13218084,-0.12462060000000001,0.0,-4.4817461371011325,1,9.011528,8.981688,9.038651,9.01017,7.863736869692802,9.061906849741936,8.39024047255516,-0.8968095450621691,50,78.34154561721296
53,53,53,540,0.056561984,1.5132385e-05,74.19983,2.43586,17.677185,2.6966999,0.6229898,0.016145217100431753,587725074458476823,0.26904959999999994,146.78847,-0.31065753,9.404471000000001,9.317533000000001,9.503438000000001,-0.45595223,-0.8784671999999999,-0.15375598,-0.5161116,0.0,-4.8930189251004785,1,8.617051,8.373337,8.749314,8.561325,7.771083718538284,8.960601264238358,8.233775618076324,-0.4438701366245315,53,74.39227965125704
54,54,54,568,0.0456523,1.6212982e-05,76.40859,2.839703,15.314866,2.407868,0.69802904,0.014063103935224952,588848899898016107,0.7722498999999999,146.59448,-0.13317432,9.605663,9.505730999999999,9.714461,-0.48786759999999996,-0.9314814,-0.14539486,-0.53843814,0.0,-5.061919385652837,1,8.706560000000001,8.601315,8.808739,8.705027000000001,7.9639346361160275,9.171461606025696,8.559446039199829,-0.4342017009929761,54,39.4436399539288
55,55,55,573,0.035808306,5.25862e-06,1311.7883,11.609131,333.1961,5.413537,0.5951638000000001,0.0020408942950238397,587725074458476803,0.421793,146.7517,-0.4083915,9.92328,9.845766000000001,10.024161999999999,0.049906905999999994,-0.12348130000000004,0.2723215,0.074420094,0.0,-4.028711955358497,1,8.869402000000003,8.862102499999997,8.8767,8.869402000000003,7.699571022987365,8.882410340309143,8.113010988235473,-1.0408694320342031,55,65.05216107331962
59,59,59,603,0.052176386,5.7654792999999974e-06,1334.9666,10.9942665,266.44604,5.0480995,0.6998611,0.0017907058014076016,587725074458345621,0.683022,146.35204,-0.3326912,10.319674000000001,10.2286415,10.409889,0.53514236,0.43369904,0.6431064999999999,0.5384028000000001,0.0,-3.1384981169004837,1,9.050448,9.043343,9.057553,9.050447,7.968643050789832,9.176609717011454,8.567397214174273,-1.1430637994699508,59,46.91975347591885
61,61,61,606,0.05248393,5.880207e-06,1031.9523,8.5541,218.43716,4.912825,0.6743331,0.002203505499792345,587725074458345628,0.561124,146.36539,-0.34351528,10.395585,10.301133,10.492034,0.214854,0.09787422400000001,0.3412643,0.21956927,0.0,-3.3821139688009576,1,8.991203,8.983174,8.999233,8.991203,7.90303605556488,9.10487599849701,8.456605634689332,-1.2907090567937134,61,55.86643447693355
62,62,62,608,0.053547755,5.4239913e-06,376.7933,4.2304129999999995,83.58832,2.9095237000000003,0.65395755,0.0035236743229738092,587725074458345647,0.3764258,146.39902,-0.35038266,9.643410000000001,9.552347,9.743503,-0.09438279,-0.23180032,0.094767354,-0.06851648,0.0,-3.842104078312584,1,8.824842,8.789956,8.854074,8.822014999999997,7.850670892596245,9.047620703577994,8.368175748586657,-0.5957890151113079,62,67.8875365733603
63,63,63,611,0.021758002999999998,4.8833067e-06,2292.528,16.981102,638.0527,8.117599499999999,0.5554581000000001,0.001779436774045466,587725074995150921,0.3959778,146.30086,0.035479628,9.370238,9.286871000000001,9.486657000000001,-0.25578567,-0.38405177,-0.07664077,-0.23034626,0.0,-3.690540551706118,1,8.728516,8.715656,8.738291,8.726974,7.597527390122414,8.770837340950965,7.9406882774829874,-0.5994009700171656,63,66.67302909458193
65,65,65,659,0.021652305,1.0536921e-05,110.73988999999999,2.3810312999999996,33.484234,2.171841,0.5194637,0.008973205605999844,587725073921147022,0.5085805999999999,145.64786999999995,-0.7717634,9.256276,9.191234,9.348593,-0.58771664,-0.86020404,-0.2983423,-0.57927316,0.0,-4.645650544369015,1,8.6178055,8.559778999999999,8.697875999999999,8.628828,7.505021755099295,8.669693047404289,7.784472535848618,-0.5865830808682273,65,59.43066960784463
66,66,66,700,0.035878632,1.2288767e-05,150.16072,2.6133156000000004,33.751644,2.0553718,0.6482614000000001,0.006182532158459329,587725074457886934,0.5213390999999999,145.39106999999996,-0.41559586,9.719369,9.627297,9.820530999999999,-0.6405214,-0.8665216999999998,-0.39084166,-0.62868166,0.0,-4.351076869460023,1,8.905507,8.837011,8.932578,8.884794,7.8360318696498865,9.031614612340928,8.343454596996308,-0.6877543127509579,66,58.57788138687503
67,67,67,729,0.05195406,9.549349e-06,390.58606000000003,4.782414,100.75614,3.0121264,0.5884451999999999,0.0036192231374140046,587725074457886881,0.3961982,145.3206,-0.25286138,10.078877,9.995678999999999,10.174514,0.024570908,-0.16295268,0.26770338,0.052375354000000006,0.0,-4.151456597162366,1,9.047571000000001,8.999769,9.056161999999999,9.027966000000001,7.6823041296005234,8.863530974388123,8.083852109909058,-1.2153464603920026,67,66.65927629869338
70,70,70,756,0.05720619,1.0392619999999999e-05,180.81735,3.342798,41.714134,2.539734,0.6369569,0.0063750481655816356,587727942421250123,0.3630246,145.26324,0.99193054,10.175454,10.083141,10.236811,-0.23707260000000002,-0.46121059999999997,-0.024054867999999997,-0.24263273,0.0,-4.214041621009302,1,9.046956,8.998165,9.073125,9.035645,7.806979157328605,8.999848806262015,8.29439281821251,-1.1756053428821485,70,68.71393632748686
71,71,71,779,0.057359636,7.298914e-06,404.08853,4.6832404,106.46638999999999,3.231663,0.579264,0.0037177945487342377,587727942421381271,0.4291674,145.61283999999995,0.972333,9.639505,9.566569,9.733171,-0.19751225,-0.3369958,-0.018620607,-0.17780821,0.0,-3.783117812493766,1,8.929837,8.920653,8.939021,8.929837,7.658708441853522,8.837731798291205,8.044005695581436,-0.8017736114609696,71,64.58526714448807
72,72,72,790,0.045708895,6.600415000000001e-06,586.3332,6.867763,113.973114,3.8471186,0.71134204,0.003016231219442068,588848900434493571,0.7941872,145.59402,0.30938426,10.506345,10.408372,10.604517999999999,0.21464598,0.07121567,0.37402776,0.22262171,0.0,-3.69326474025922,1,9.056527,9.043275999999999,9.092389,9.067833,7.998149034380911,9.208871123194694,8.617224439382554,-1.2974736670370621,72,37.42144808400484
73,73,73,804,0.03801033,7.362193599999997e-06,993.2001300000001,9.111692,214.10071000000002,4.768551,0.6664187,0.0022550926383827817,588848900971495648,0.679854,145.99263,0.78807765,10.1160145,10.026810000000001,10.206225,0.45659092,0.36161855,0.565474,0.46354628,0.0,-3.0888191772766618,1,9.146013,9.110888000000001,9.155833,9.13336,7.882695986032486,9.0826364672184,8.422257034778596,-1.0333779999923336,73,47.16776485797661
74,74,74,812,0.0374546,6.020544e-06,725.4607,6.2994012999999995,214.13676,3.8811445,0.52992266,0.002576316849726904,588848900971561170,0.9913365,146.01225,0.7656381999999999,9.420765,9.328526,9.548103999999999,-0.31371817,-0.4756531,-0.0707893,-0.2732212,0.0,-4.06789546178466,1,8.884861,8.869093,8.895657,8.882375,7.531901246905327,8.699082686305045,7.829864362478256,-0.7216822475950782,74,7.547417279753939
75,75,75,818,0.053293745999999996,9.387141e-06,267.52823,3.8745182000000002,61.06378,2.786848,0.64158595,0.004746383293852537,587727942421512338,0.4132778,145.89355,1.0284222,10.005995,9.924275,10.09746,0.05375871,-0.14796884,0.29940015,0.07571565,0.0,-4.272224471495472,1,8.954487,8.940673,8.99543,8.968052,7.8188758814334856,9.012856508493423,8.314483006000518,-0.9931382993025089,75,65.58909192205616
78,78,78,832,0.036699194,1.0262371000000001e-05,225.36872999999997,3.5042636,49.746693,2.4918277,0.6561294,0.005027885106049975,587725074994888911,0.6731956,145.72946000000005,0.12689565,10.074091000000001,9.981021,10.169084,-0.35639006,-0.57610273,-0.08092093,-0.32851183,0.0,-4.4415337116841735,1,9.01554,8.984416,9.054716,9.019566000000001,7.856252608895303,9.053723669648171,8.377601681947711,-1.020367272003812,78,47.685815543690104
79,79,79,856,0.030476782,1.2983797e-05,77.748215,2.3790746,23.932966,2.5217443,0.5116939,0.01466821955101272,587725075531890854,0.491843,145.9282,0.53113353,9.560891,9.483556,9.656875999999999,-0.5679076,-0.95432675,-0.247561,-0.60094386,0.0,-4.971367586291341,1,8.61477,8.522142,8.719208,8.620675,7.485053309798241,8.647859844565392,7.7507515037059775,-0.913031316408714,79,60.53821124162983
81,81,81,874,0.037357356,6.9608177e-06,459.36697000000004,4.8489775999999996,94.31874,3.3057220000000003,0.68756175,0.003263961672657189,587725075532021901,0.3367093,146.25172,0.506149,9.547865,9.455293,9.640102,-0.33517978,-0.46486473,-0.20559195,-0.33522832,0.0,-3.3061897905537685,1,8.845493,8.825772,8.8574705,8.841621,7.937033698558808,9.142048518657683,8.514017996788025,-0.4058163964412785,81,70.3234868384471
82,82,82,877,0.036102063999999996,1.4090509e-05,56.51643000000001,1.9569615000000002,15.247125,2.1754012,0.5689868,0.01720189697226917,588848900971561203,0.1848739,146.08981,0.6598350000000001,9.533856,9.428717,9.642643,-1.2002565,-1.6930328999999995,-0.75714284,-1.2250879,0.0,-5.1660908139046775,1,8.647613,8.564473,8.725228,8.644851,7.632296007871628,8.808852833509443,7.9994025969505325,-0.7250035445306336,82,79.34621941603758
83,83,83,890,0.057563934000000004,1.0795879e-05,159.55696,3.2182279,36.799793,2.8530233,0.63707036,0.008024077701992005,587725075532087451,0.2999993,146.40623,0.6041419,9.735383,9.649574000000001,9.832218,-0.2062789,-0.43689504,0.028782372999999997,-0.20405634,0.0,-4.356670499500292,1,8.820269,8.76804,8.86711,8.817575,7.807270819544794,9.000167705416679,8.29488535284996,-0.7352153218283302,83,72.54243891988087
84,84,84,892,0.030323457,6.8440972e-06,1473.6193,11.887375,317.4383,5.827257599999999,0.666726,0.0018758685874163679,588848900971757669,0.5463529,146.463,0.63870907,10.075816,9.963053,10.187852000000001,0.24697408,0.117779754,0.44254568,0.28016272,0.0,-3.796948962103965,1,9.069974,9.063156,9.076792999999999,9.069975,7.883485802412032,9.083500040769575,8.42359081029892,-0.9923161061840188,84,56.88283534938914
85,85,85,896,0.04892132,7.800136e-06,507.95797999999996,5.551169,128.04973999999999,3.680076,0.59844905,0.0033661965261975947,587725074995282097,0.7300088,146.51535,0.1667796,9.786887,9.721808,9.876780499999999,0.08953225599999999,-0.11518148,0.32782259999999996,0.10632056,0.0,-4.273365100293846,1,9.044544,8.991366000000003,9.055209,9.023288,7.7080140620470035,8.891641834378243,8.127268882989883,-0.8952453434657289,85,43.112868205854575
