,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SDSS9,JINGLEID,IDNUM,SDSSID,OBJID,SPECOBJID,PLATE,MJD,FIBERID,RA,DEC,Z,Z_ERR,DL,AGNCLASS,N2HA,O3HB,Z_PP04_N2,Z_PP04_O3N2,Z_MZR,LOGMSTAR,LOGMSTAR_MAGPHYS,LOGMSTAR_MAGPHYS_ERR,LOGMSTAR_GRASIL,LOGMSTAR_WISE,LOGMSTAR_WISE_ERR,LOGMSTAR_CHANG,LOGMSTAR_CHANG_ERR,LOGMSTAR_MPAJHU,LOGMSTAR_MPAJHU_ERR,LOGMSTAR_BC03,LOGMSTAR_BC03_ERR,LOGMUST,CINDEX,AXISRATIO,INCL,PETRORAD_KPC,PETROR50_KPC,RE_R,LOGSFR_MPAJHU,LOGSFR_MPAJHU_ERR,LOGSFR_CHANG,LOGSFR_CHANG_ERR,LOGSFR_IRNUV,LOGSFR_IRNUV_ERR,LOGSFR_IRFUV,LOGSFR_IRFUV_ERR,LOGSFR_MAGPHYS,LOGSFR_MAGPHYS_ERR,LOGSFR_GRASIL,LOGSFR_NUVCE01,LOGSFR_NUVCE01_ERR,LOGSFR_NUVJRM,LOGSFR_NUVJRM_ERR,LOGSFR_FUVCE01,LOGSFR_FUVCE01_ERR,LOGSFR_FUVJRM,LOGSFR_FUVJRM_ERR,AIRX,FUVK,LOGL12UM,LOGMHALO_TEMPEL14,GROUPRANK_TEMPEL14,GROUPCLASS,MORPH_ZOO,MORPH_JINGLE,MORPH_TEMPEL14,DETFLAG_850,F850,F850ERR,SN850,F850_CORR,F850ERR_CORR,LOGL850,LOGL850ERR,F850_BEAM,LOGL850_BEAM,LOGL850ERR_BEAM,SN850_BEAM,LOGLIR_GRASIL,LOGLIR_MAGPHYS,LOGMDUST_GRASIL,LOGMDUST_MAGPHYS,FLAG_RXA,CO_APCOR,RMS_CO21,ICO21,FLAG_CO,LOGLCO21,LOGLCO21_ERR,SNCO21,ALPHACO_A17,ALPHACO_MW,LOGMH2,LOGMH2_ERR,LOGMH2_PRED,FIRST_FLUX,FIRST_FLUX_ERR,HIREFERENCE,HIFLAG,LOGMHI,LOGMHIMS,BDec,BDecerr,HA SNR,HB SNR,logMDust,logMDust uperr,logMDust lowerr,MPA LBdec,MPA LBdec err
104,104,104,104,167,167,J120446.29-000055.3,JINGLE161,161,756-301-3-0437-0125 ,1237648721231282301,322127803417913344,286,51999,438,181.192874,-0.015384,0.04043,1e-05,178.49958999999996,1,-0.5202149,-0.3078659,8.609899,8.662047,8.520048,9.408905,9.392000000000001,0.057500362,9.461492999999999,9.82468,0.057798628,9.41,0.09500027,9.4934,0.09611845,9.51361,0.13549592,7.8940372000000005,2.2249397999999996,0.7252948,43.973884999999996,4.7225337,2.216539,2.8228133,-0.29887990000000003,0.17116149,-0.34299999999999997,0.10250001,-0.4547035,0.011350485,-0.55720294,0.01073251,-0.528,0.05249998,-0.32780349999999997,-0.7447275,0.12063735,-0.4685210999999999,0.051093467000000004,-0.7447275,0.14476481,-0.44369748,0.04825494,0.54672045,3.6574337,8.587945,0.0,1,1,1,1,1,1,0.0034,0.0023,1.5,0.0033,0.0023,7.0622993,0.30269009999999996,0.0,0.0,0.0,0.0,9.719233500000001,9.551694,6.4279833,7.3653007,0,0.96931386,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0,0,0.0,0.0,0.5156571865081787,0.041728202253580086,26.536211013793945,13.964082717895508,7.780975,0.167366,0.307623,0.5494050715852506,0.018707816969582142
105,105,105,105,168,168,J114103.60+014331.7,JINGLE162,162,1462-301-2-0333-0054,1237651752934506550,578792300163917824,514,51994,290,175.265029,1.725497,0.0406,1e-05,179.27245,1,-0.42094922,-0.8693208,8.714872999999999,8.873479,8.770203,10.624707,10.55,0.07999992,10.567036,10.93657,0.04839973,10.65,0.089999676,10.657995,0.08668852,10.8027935,0.16333932,8.80157,2.4500194,0.7765583,39.452457,7.0005479999999976,3.2160987999999997,3.9265171999999997,0.7633800999999999,0.19757661,0.747,0.1275,0.7236573000000001,0.003768534,0.67045003,0.0038455090999999996,0.597,0.03250003,1.1733185,1.0670708,0.24971002,0.51454777,0.031874823999999996,1.1132746999999998,0.25261350000000005,0.5477747,0.031987697,1.3761823,4.133872,9.95881,0.0,1,1,1,1,1,1,0.0125,0.0031,4.0,0.011000000000000001,0.0031,7.5889305999999985,0.12239208,0.0,0.0,0.0,0.0,11.095206,10.775902,7.4637449999999985,7.745230999999999,1,0.9409860999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,1,2,9.739274,-0.8854332,0.5288146734237671,0.029405534267425537,43.25485610961914,19.773488998413086,8.442247,0.072309,0.099927,0.7110338870175852,0.02875253109727448
106,106,106,106,169,169,J090045.90-002937.2,JINGLE164,164,6749-301-2-0122-0101,1237674460412772453,529252703172323328,470,51929,290,135.191278,-0.493692,0.0408,1e-05,180.18184,1,-0.4504437,0.009714064,8.682006,8.582749,8.741531,9.77913,10.3,0.01999998,10.161121000000001,10.418484,0.050242424,9.89,0.089999676,9.880745,0.087474346,9.76259,0.18406989,8.961886999999997,2.5222147,0.3629924000000001,70.01246,4.7739096,2.165807,3.2609277000000003,-0.1067799,0.21176243,-0.113,0.1225,0.046411887,0.0064911707,-0.01689679,0.0073488057,-0.09300000000000001,0.0575,0.22510855,-0.036212165,0.037764736,-0.15490197,0.03722524,-0.004364801,0.039481316,-0.12493873400000001,0.04053415,0.87986034,3.9957074999999995,9.22227,12.2754755,2,3,1,1,1,1,0.0036,0.002,1.8,0.0033,0.002,7.0704465,0.26320878,0.0,0.0,0.0,0.0,10.118369,10.112269,6.6973033,7.136086,0,0.9700901,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0,0,0.0,0.0,0.6244259476661682,0.04057707637548447,50.2835807800293,16.164201736450195,7.828948,0.04498,0.046717,0.6073902542987358,0.023204076005730708
107,107,107,107,174,174,J084532.01+011736.2,JINGLE169,169,1907-301-3-0058-0420,1237653664713802148,525924206127376384,467,51901,469,131.383381,1.293412,0.04398,1e-05,194.67575,1,-0.5303187,-0.24082923,8.600086,8.6373625,8.624214,9.968709,9.752,0.049999714,10.062439999999999,10.437654499999999,0.0493271,10.11,0.089999676,9.943052999999999,0.079695225,9.897055,0.15852188,8.159986,2.5329435,0.27658987,75.74578000000002,5.69699,2.6570485,4.392979599999999,0.2141301,0.18799075,0.092,0.120000005,0.31346256,0.003572244,0.26945382,0.0029238190000000002,0.41200000000000003,0.037499994,0.1346528,0.40140054,0.04825494,0.39445168,0.014009499,0.44715804,0.048082599999999996,0.4393327,0.014213274,1.6918296999999998,3.2914760000000003,9.572578,0.0,1,1,1,1,1,1,0.0108,0.0032,3.4,0.0105,0.0032,7.6403235999999985,0.13235639999999999,0.0,0.0,0.0,0.0,10.265153999999999,10.516667,7.6695576,7.2219357,0,0.95098007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26,3.7425742,0.14652891,0,0,0.0,0.0,0.5558727979660034,0.0337737500667572,34.301700592041016,18.75925064086914,8.018221,0.042045,0.039222,0.6854932714554979,0.02204227806204828
108,108,108,108,175,175,J133412.86+233833.2,JINGLE170,170,5116-301-3-0215-0168,1237667447274143912,3000562630277490688,2665,54232,143,203.553617,23.642568,0.04411,1e-05,195.26965,1,-0.4429491,-0.6641334,8.69022,8.800778,8.762042999999998,10.583784,10.46,0.10500002,10.554392,10.734239,0.048373226,10.57,0.08500004,10.597522999999999,0.09160423,10.754197,0.20222391,8.331266000000001,2.2002563,0.36975208,69.56724,10.96481,4.977479,7.6564493,0.3901501,0.28834128,0.207,0.1325,-99.0,-99.0,-99.0,-99.0,0.217,0.075,0.62679935,0.22010808,0.073254496,0.23044893,0.017882713999999997,0.26951295,0.07238241,0.28330120000000003,0.018095603000000002,-99.0,,9.516017,0.0,1,1,1,1,1,1,0.0179,0.0054,5.6,0.0176,0.0054,7.867292999999999,0.13324945,0.0,0.0,0.0,0.0,10.530057000000001,10.301247,7.7399619999999985,7.683947,0,0.86853373,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36,0.0,0.0,0,0,0.0,0.0,0.4538527131080627,0.05128386616706848,24.6578311920166,9.481529235839844,8.312621,0.045887,0.050611,0.7148769219146679,0.04835791846383185
109,109,109,109,177,177,J125634.64+262718.6,JINGLE172,172,5087-301-2-0270-0244,1237667322186825972,2523202234318088192,2241,54169,220,194.144341,26.455178999999998,0.04531,1e-05,200.7567,1,-0.33697259999999996,-0.47195694,8.816775,8.773194,8.741531,10.430531,10.3,0.04500007599999999,10.303998,10.508478,0.04833814,10.45,0.08500004,10.434591000000001,0.09585953,10.372622,0.23041943,8.611377000000001,2.8939955000000004,0.25308555,77.349434,6.99297,3.1397452,5.239314,0.09601010000000001,0.20526253,-0.10300000000000001,0.1875,0.00503,0.002399103,-0.014704386000000003,0.0030952955,-0.20800000000000002,0.027499996000000002,0.31471318,0.14301479,0.03749305,0.27415785,0.08316278,0.19033168,0.036424696,0.32221928,0.084790826,2.0497806,5.597034,9.352675999999999,11.941653,1,2,1,1,1,1,0.0027,0.003,2.1,0.0025,0.003,7.0437910000000015,0.5211534000000001,0.0,0.0,0.0,0.0,10.233934,10.212454,7.479891,7.270678999999999,0,0.9339521999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0,0,0.0,0.0,0.5183800458908081,0.03793030604720117,41.19894790649414,14.486943244934082,8.089037,0.056912,0.055697,0.7165699728645649,0.03281410653621733
110,110,110,110,178,178,J084742.49+004056.0,JINGLE174,174,756-301-5-0107-0529 ,1237648722283397649,525840918121572352,467,51901,166,131.927049,0.682247,0.04541,1e-05,201.21434,1,-0.5791055,-0.11049187,8.554827000000001,8.580043,8.544388,9.602584,9.472000000000001,0.13250017,9.563224,9.7100315,0.077757575,9.56,0.09499979,9.561455,0.09092951,9.578102000000001,0.17755884,7.783772999999999,2.1791883,0.15507306,85.1086,6.6107216,3.0503902000000003,5.291947,-0.4969699000000001,0.3468206,-0.728,0.17249998,-0.9128626,0.034720246,-1.1026402,0.03620427,-0.893,0.100000024,-0.48812383,-0.82390875,0.08685889,-0.39794,0.021714723,-0.7695510999999999,0.10218693,-0.35654733,0.029610986000000002,0.35845622,3.9895275000000003,8.176584,0.0,1,1,1,1,1,1,0.0,0.0023,1.3,-0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,9.670358,9.272074,7.2086225000000015,7.343999,0,0.9334125,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58,0.0,0.0,0,0,0.0,0.0,0.5326054692268372,0.10939253121614456,13.698225021362305,5.208878993988037,7.68226,0.115017,0.141546,0.6466341536491382,0.12957873145231216
111,111,111,111,179,179,J133216.55+261614.1,JINGLE175,175,4670-301-3-0044-0015,1237665531707523087,2527775928466040832,2245,54208,475,203.068961,26.270607000000002,0.046,1e-05,203.91585,1,-0.4864159000000001,-0.73029315,8.643865,8.808041000000003,8.743027,10.408078999999999,10.31,0.029999732999999997,10.400357000000001,10.802173,0.04875658,10.4,0.08500004,10.488482000000001,0.089568615,10.566672,0.16412866,8.520811,2.1635144,0.7461321,42.182655,6.6177053,3.2853599,3.8089802,0.5541701,0.1946474,0.47700000000000004,0.114999995,0.6295236,0.004799873,0.51736856,0.0030843858,0.16699999999999998,0.020000003,0.6110656,0.5010593,0.03014031,0.44247976,0.12386016,0.53655845,0.031562097000000004,0.4756712000000001,0.12927160000000001,1.308851,4.9207906999999995,9.849428999999999,13.031119,1,2,1,1,1,1,0.0143,0.0054,3.9,0.0138,0.0054,7.7992916,0.16994132,0.0,0.0,0.0,0.0,10.650209,10.627161,7.366859,7.693111,0,0.9456093000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,0.0,0.0,1,2,10.023029,-0.38504982,0.5240640044212341,0.028704961761832237,41.16662216186523,20.369651794433594,8.386807000000001,0.042,0.041727,0.6389800685906434,0.023897250136310725
112,112,112,112,182,182,J132912.24+294934.9,JINGLE178,178,4649-301-6-0126-0087,1237665443129196631,2227120783711299584,1978,53473,330,202.301019,29.826366999999998,0.046439999999999995,1e-05,205.93198999999998,1,-0.34803668,-0.53461486,8.802617999999997,8.789703999999999,8.762042999999998,10.53604,10.46,0.10500002,10.296249000000001,10.622784,0.049137253,10.53,0.09000015,10.446305,0.10368585599999999,10.698207,0.26090693,8.547646,2.5365577,0.32105878,72.778015,9.124822,4.119347,5.8710666,0.1965001,0.21070650000000002,-0.138,0.3175,0.25412932,0.0037137434999999996,0.23616771,0.0018951198,0.017,0.055,0.24490498,0.34439227,0.043232933,0.29003462,0.031180115,0.39445168,0.043779686,0.33645976,0.032021713,2.91062,5.865149,9.608709,13.782268,8,3,1,1,1,1,-0.0007,0.0039,1.0,-0.0008,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,10.441751,10.548266,7.9416533,7.4814425,0,0.91695946,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07,0.0,0.0,0,0,0.0,0.0,0.6080595254898071,0.07642048597335815,26.27594757080078,8.348740577697754,8.232813,0.043185,0.041988,0.8013856499420536,0.05481698191274421
113,113,113,113,184,184,J115104.55+001454.2,JINGLE181,181,5973-301-1-0082-0143,1237671126978658447,319861434135635968,284,51943,385,177.768969,0.248408,0.04699,1e-05,208.45383,1,-0.40546575,-0.6379501999999999,8.73272,8.804395,8.740021,10.426366,10.29,0.075000286,10.311415,10.543368,0.048902415,10.38,0.09000015,10.408846,0.093185425,10.508248,0.21989726,8.545273,2.168123,0.41938534,66.28793,6.9180839999999995,3.2833104,4.5709124,0.2769601,0.21693422,-0.308,0.345,0.15669349999999999,0.003355914,0.127885,0.0027128302000000003,-0.038,0.035,0.32215044,0.16136801,0.050917283,0.11727127400000001,0.046413153,0.20682588,0.053949624,0.16435286,0.04759391,2.1387532000000005,5.256228,9.485764999999999,12.176091,2,3,1,1,2,1,0.0033,0.0027,1.2,0.0032,0.0027,7.1836804999999995,0.36643597,0.0,0.0,0.0,0.0,10.241369,10.312389,7.487342999999999,7.4158077,0,0.9426187,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93,0.0,0.0,1,2,9.75415,-0.67221546,0.5136828422546387,0.03797324374318123,37.78001403808594,14.48807144165039,8.258536,0.036515,0.038893,0.7215641660739933,0.03310042838225171
